Commit hash,Inwards_sum,Inwards_avg,Outwards_sum,Outwards_avg,,,,
e63b831bbdee89decbe8c2f06110e8ac56ef9e2b,0,0,24,6,,,,
bcb68461c9b0b3e074e63fe92458b650b1933ef0,225,225,14,7,,,,
6c3c1a4cb8e4973b8e603edfbe608e1b1587f3f2,0,0,0,0,,,,
9e66ee2d59d28d61e06e5c57485f1a331b82f269,2,0.666666667,38,6.333333333,,,,
733430636d1a1e0fb49cf0665994f8ec064c8613,72,24,218,36.33333333,,,,
a71d9560137303c162be59035c0cebb03c04a800,10,5,34,8.5,,,,
62fe32b37c173f9dc82f4f95ae50b2e95a719d77,1,1,46,23,,,,
a2d1cb87a01baede8bd163ea9c51077c53a87071,10,10,2,1,,,,
b97070f2c489877b650283842fbbdea708102a40,1742,134,298,11.46153846,,,,
999e5162ec3e86c9cb84c3ec95dfd0ba4b21277f,102,3.1875,656,10.25,,,,
7cba8a052fc7d5f6ed6c3bacca82807fff28358c,2,1,26,6.5,,,,
609d2eebe8b81524a0fa7e3d06625e63ed410a77,1,1,16,8,,,,
026503152d827d9f42e3424613ecf60aa12b8585,0,0,46,23,,,,
1349299f458f41fdc9e7ac4a0592eaa358d2b033,104,10.4,424,21.2,,,,
964be004033ea84dd4b8cbef53c4660b714dde09,27,13.5,110,27.5,,,,
8eae3a923a540f3dbfe9445a1d58c59f20294684,139,34.75,78,9.75,,,,
0783b1670d5862b51747b0246a222878ff3b9c44,51,51,36,18,,,,
ed9d1ef082079e44f3a4307c6dde0e2e5c11889b,0,0,0,0,,,,
c603a295501cfa99f1592e120ab40ba0db759a81,0,0,18,9,,,,
345a8a67f0a8a1ddb9ed26ec2a12b20728c741da,8,8,66,33,,,,
ba2ea6da298bfd234af1afeaf154fa4aaefaad88,0,0,0,0,,,,
0ea6b8ada00d56de939363e033aab8e9c0d3fdca,5,5,2,1,,,,
f3aad61120d5cc8029c7092b1f74e2b5b632f99b,13,4.333333333,68,11.33333333,,,,
56552a5633d28b282c13e3641d1f9a2512dd1471,47,23.5,54,13.5,,,,
b92d951bb16bb690daa20d13f1638ff3500f41eb,0,0,0,0,,,,
ded80cfc8a3f258a85954b4fd19063f9988f3744,75,12.5,176,14.66666667,,,,
a4d0c56a59f2c1b8cb94bfafb2ffb9273c6fc12c,8,8,66,33,,,,
89c4b7b45c66605308e56ef7f53378798b22991f,10,10,66,33,,,,
bdfbc9e493b4df7da89fb62222dc7cb283b3794a,0,0,18,9,,,,
d7dfab8cacff688b2f048097dc1a50eee81885f1,4,1.333333333,78,13,,,,
9f843918f27024181925b53b013666cc75e2d2e2,0,0,0,0,,,,
6d39e87f340b46637633a34fc32a72c38356473b,6,3,60,15,,,,
e02a144a3c8e7858d879ac2d0038bc7d00906ae6,32,1.185185185,610,11.2962963,,,,
1cf6bbfcf19ef9c4cf96bf9fc4b6e7038be0cd8b,6,6,48,24,,,,
ab6d29a6cd6e7759858aabefe382e58733c5f8e0,0,0,0,0,,,,
eee2de6aa12ff602c9303f43d864372ca2d5cc17,3,1.5,142,35.5,,,,
ea783ff51f25af89b7219154d7be5de1fd138664,47,47,38,19,,,,
698ae963e4cbb6c5d9239d0a10efc0cb910fa310,1,0.5,44,11,,,,
ab3837f86f84fc92b13ad0a79f6d41ba6252deb5,27,9,60,10,,,,
44e68b90266336d3d46279eddcbb2a4a775f0d2a,11,11,68,34,,,,
17ebcd2b4690f73c8fd2332b0ba55b3ee3e2e8bb,0,0,0,0,,,,
3a685dcd5ef3b9e264abd7aacc9a8daffdb67992,4,4,52,26,,,,
16dccb24e4e7fb6332f672e1572e7ca359f794c5,1,1,0,0,,,,
55d7e5f18bb321981edef0cb02fdad5b5ad0bd0a,1,1,16,8,,,,
615d120e5a3ccbda82dfa6eeaa445c613adc7ca2,18,18,156,78,,,,
e3d32bce79ee81e0434e91b225adaa6c42b5ec3a,0,0,0,0,,,,
8a5657b9f721bb2301358080353e1d6f3fcf2174,30,7.5,234,29.25,,,,
03238488ebee2a7f1adff63fb90b9f5317aa6605,0,0,0,0,,,,
48f332f802c990b6755a31112d61e4c71667143b,0,0,0,0,,,,
8f6ee81ee97bd89df9bbc6d4353df05542c3ac64,0,0,30,15,,,,
417cf3fc535ef18e7895cb863235cc33e36669f9,0,0,0,0,,,,
4d693b6cdf879a03f77f2a06ca0e1be5605c0fc0,0,0,0,0,,,,
f4b3fa305d4775b1d731a66f4971d07bd8a6b6c9,133,66.5,110,27.5,,,,
f95181c7bb340744a0ce172e8c5a8fcdc2543297,173,17.3,300,15,,,,
1241a02a01183541ed4e3a3367e275c9094f84a1,240,240,16,8,,,,
2fa3d365ac60aba43ad09e5239ec61d740c8704d,20,20,78,39,,,,
034ac599f6d5b3149b3fe4983c8f539a4d0ffe05,14,14,44,22,,,,
587b80f67dee42bd6231a2cd836dded05e5dfd13,52,52,14,7,,,,
087fcc61824a54e49e68b9090b2983ef7dd18ddb,0,0,84,2.625,,,,
3e025708b4f523da95be10cbefcabb905a345ab5,0,0,0,0,,,,
58d3156e13ba4016d05c4a5ffb9b2a910809294d,3,3,54,27,,,,
aa23a18ad2d74232818aa70054b4a179a7a78dbb,3,3,54,27,,,,
d8c98de3999f034bc8ea17c866d4d8c4997f9441,14,14,36,18,,,,
191c0e300b8d625fa93939ecbff777469b816a44,8,8,16,8,,,,
d23c1a93234b2b0a8954c5c2d8affe8f2b930125,81,81,2,1,,,,
e5b203dbc7da249e89cc800a7b6a41af8b913ecc,44,6.285714286,352,25.14285714,,,,
b8ff073c0d0a955776038fde1c16d471c875a4c3,0,0,46,23,,,,
0e9ea64edcdb451ffcfbf055174354e6c8f2df88,147,29.4,186,18.6,,,,
f18b0810be29acbebeab86e7571d1cb4062ee763,4,1.333333333,86,14.33333333,,,,
f8dbed12266c42785c1e4758eed05833ec035f33,5,0.5,4,0.2,,,,
bc92ca1860c575863466e5eeef6b253690515824,0,0,0,0,,,,
6827728d5ac0e878cf330ecaea09a0cb21a7424d,37,12.33333333,234,39,,,,
e63d262b6ad43653271e004738a22f085b683b0f,11,11,30,15,,,,
ac38fa541b9ebbfee63cea3cc49f22507666a64f,0,0,0,0,,,,
3e3d06d70575b638d667d2bedae7010dbe605680,6,3,26,6.5,,,,
60f6f63c543ada0de1c0be6c1f039dbcd107a1dd,8,8,28,14,,,,
22b7d211865c1505862627a2e65bcd063e314e45,57,9.5,426,35.5,,,,
c9aa1f2c2a7f6d7a238fa2554a419a80cc64752d,7,2.333333333,20,3.333333333,,,,
8522cb5c97e092d83484768152704f7d9a69901d,23,23,36,18,,,,
f5b9982805d70a767208c0fedbb20cc6aa8930b6,0,0,0,0,,,,
96c5b5ecf45759ecf0862e8f6af4f96b91ef5fe6,0,0,68,17,,,,
d1b3cc0d0c426c48f4c5d2c0076764e34dec2ebd,66,13.2,166,16.6,,,,
38e90ad2b3cff1220c9214290b4c4fed9dd39bd5,194,48.5,34,4.25,,,,
e41129c8593e58e800846e9c6219a79a7741cb2f,26,26,60,30,,,,
f7af3e61716691a46c872c33edaf44481428abc0,0,0,0,0,,,,
fd6728a5bc41059e660c697cffcf1140751a12e2,5,5,44,22,,,,
e9c9e8bfa93b467a06a6cd872712845cacc465c8,1,1,26,13,,,,
577d51ee22afaf564054d55f6c74a4359a993523,0,0,28,14,,,,
b32f3ba9e4d9a24ddb10c6c5901e2d299aea23ca,75,12.5,316,26.33333333,,,,
c72eb0372b998472316def1df1bce29305f5500a,55,27.5,138,34.5,,,,
14a1d06113c35557cf7f364a14e424be212e8126,0,0,32,16,,,,
68974d8e647febb80a47d9cf6ce9452f3ce4fa21,0,0,0,0,,,,
ad9554a7f2d4b8a2af3efabc7bc69b9a0ae3751d,6,3,8,2,,,,
071098b08b12fc1af6341ff6d7ba6713e5de1481,81,40.5,266,66.5,,,,
