Commit_Hash,Bug,Filecount,Editcount,MultilineCommentscount,Inwards_sum,Inwards_avg,Outwards_sum,Outwards_avg,,,,
01a44568cc60bb5a6dd7b55d69b20bba57d1b94b,1,10,59,0,28,2.8,22,2.2,,,,
01a938f7fe4dea274713e49f124fcc45702f80a0,0,67,734,0,154,2.298507463,352,5.253731343,,,,
01a977b66958ec1d03964bbe3aaf218ff044232b,0,2,29,0,5,2.5,26,13,,,,
01aa0f25d8d30050c3216d85011e166bb0358b6d,1,5,121,0,4,0.8,64,12.8,,,,
01afc61e6201ea22926f27e82280f0b3c6f2362f,0,1,6,0,14,14,5,5,,,,
01b0f6554be87a0664e74c63817c3034ee40a6ac,0,7,258,18,13,1.857142857,95,13.57142857,,,,
01b87a1ae18d3c5098163c2558da884c880c9749,0,5,61,0,26,5.2,57,11.4,,,,
01baf99b01e3b2b15a1461970c5bb3dd7a230499,0,10,548,55,0,0,159,15.9,,,,
01c54d96ab7b0fda61b3b81c56022f14a39e1916,0,8,791,35,0,0,33,4.125,,,,
01c654e2ef6db17e677d5e9a0d8e781d374bdbbe,0,2,8,0,2,1,31,15.5,,,,
01c6bcd9e436831d130964c1d7e5d5922bf5ecea,1,3,26,0,51,17,15,5,,,,
01d1952696ded18fdd2f7b89edfddfef2ccceaad,0,2,15,0,5,2.5,40,20,,,,
01debad5665bcae5c0f4745759ae744f85daa723,0,1,10,0,16,16,6,6,,,,
01e45596fae2818b41c76b41bef46e86c5d33231,0,2,46,0,3,1.5,55,27.5,,,,
01e6f7575a3c75bd73e297f3d9d003292e0a0e1e,0,6,214,84,11,1.833333333,4,0.666666667,,,,
01f24caba86c987b0109f743979a4e99e8afed11,0,5,91,10,13,2.6,32,6.4,,,,
01f3b1f438a5a52fbc812a2c83e8d19e5fbbc928,1,3,24,0,5,1.666666667,45,15,,,,
01f58d68262aab1ac63683c9fac91b4da764aa92,0,5,301,19,93,18.6,53,10.6,,,,
01fc8749851d51139f095b44855045a059b4dc50,0,3,4,0,17,5.666666667,19,6.333333333,,,,
02130b6f9ab6d3443918ae987b419d3b229b39fa,0,2,18,0,3,1.5,7,3.5,,,,
02132bd91b0a6a694f9c0cbb327e7298735ece66,0,1,2,0,12,12,21,21,,,,
0219b08b465365a02b7948c4405a3759486cfc95,0,2,10,0,13,6.5,7,3.5,,,,
021c1a7192b29f28b1848611846934bad66ff8c8,0,2,75,2,4,2,59,29.5,,,,
0224bca0cf0a159b096633c776d14279e33a5730,0,2,20,0,10,5,40,20,,,,
0230e96196baf4cfd4cb7f556539fe6758367176,1,6,305,0,9,1.5,16,2.666666667,,,,
023a0615874443e2fc28d0df64a5ab5dd485405d,0,3,48,0,9,3,42,14,,,,
0252c182cf535d4f9db1dc1c0df144430c39b1a1,0,5,183,29,8,1.6,39,7.8,,,,
0252d0981af9daaf9370a50c28d8baf4a9d29619,0,2,33,0,8,4,65,32.5,,,,
0253740a23d5cb58db539230dd8513b2f845afe1,0,12,1626,740,13,1.083333333,66,5.5,,,,
02619bfd207d0d4f7e404203b539a20b3598cd80,0,2,34,1,1,0.5,15,7.5,,,,
026583e60e9ec2b83049e8ceee16f182560d2562,0,25,50,0,17,0.68,101,4.04,,,,
026843773b71ab0ac30abb36fe9eed92f5e11f7a,0,3,56,0,5,1.666666667,46,15.33333333,,,,
026ba19aac853ff6265da6ca3e48c3cfc6fa3568,1,3,12,0,23,7.666666667,40,13.33333333,,,,
026bb068a542dda727066520c33c34e72af1c2d6,0,4,49,3,1,0.25,0,0,,,,
026d50f718a7ebd61669f885c0b9556066041540,1,33,172,0,22,0.666666667,478,14.48484848,,,,
027248a9bbc906940de948d75b58709e0971141f,0,1,2,0,31,31,24,24,,,,
0278a38153f9649aab1cc641bfabd8d5738d2d8c,1,5,42,1,9,1.8,51,10.2,,,,
0279d846abd20904fa5a1d357fac6727005a2943,0,3,342,0,3,1,32,10.66666667,,,,
027b78a214e1f7ab7bbda342a024cb13dae8944d,1,6,803,100,4,0.666666667,21,3.5,,,,
028217a0dc6cdc33a37cc303ab9ffb6633036cfe,0,2,76,0,0,0,8,4,,,,
0285379aece40e6650480cffc8a757f21a5aa52d,0,2,14,0,4,2,39,19.5,,,,
028a9d6688de772461341031b91fe2eb6153e540,0,4,97,0,24,6,98,24.5,,,,
028f9ba81a857d0285bf68d789eae0a65772e39f,0,1,2,0,4,4,0,0,,,,
0291266fb61dd398147fa2ae1a37366dd2fa869e,0,3,27,0,4,1.333333333,30,10,,,,
0292ec8a09d2a3dc155f67b77e38062fe749f77a,1,13,131,4,76,5.846153846,356,27.38461538,,,,
029435c9288d82dee5dd1113c3553ddb5b97c740,1,2,49,0,1,0.5,19,9.5,,,,
029d2b5df63769a7a9222a3fe5619b7f1cba494b,0,1,2,0,19,19,7,7,,,,
029ebabc542dc3a3007ff58b18791c6ca6f7459f,0,10,3164,0,1,0.1,25,2.5,,,,
02a954afef0b0ed0f0d20125c3dc1e6287790c8e,0,8,6,10,49,4.454545455,124,11.27272727,,,,
02a9a18088b62d1c4c5aaafc44523d3dda6db527,0,5,246,2,10,2,24,4.8,,,,
02abbef960b12deaa7a911788dbc56f3a0bd555a,0,2,4,0,4,2,5,2.5,,,,
02abdb94b05471f60658d249038d4f8352204be9,0,2,134,0,13,6.5,7,3.5,,,,
02ae8a091dc611bc90a7e975c83f53e5fa579fdc,0,2,30,0,9,4.5,87,43.5,,,,
02afb4d60c93169b9e2aeb7c907fa8919447d561,0,2,48,0,0,0,2,1,,,,
02ce8504184d3f61a5fb3d80c5a517c337685cde,0,2,20,0,4,2,41,20.5,,,,
02e0413a8da907700677bc0430b946f9fe02e59c,0,2,7,0,7,3.5,9,4.5,,,,
02e19529b1b9b4b98293cd7eb15da1dffd1f7ac4,0,1,30,0,3,3,4,4,,,,
02f4516ad38c5deeefd686b87edf4bf06cffe5af,0,1,1,0,27,27,22,22,,,,
02f4b1b9f674a074a91c30585a190e3e5ed85c7a,0,1,6,0,5,5,6,6,,,,
02f58be126bc8429bf21d6fb07d7f0ca846eebc4,1,3,29,0,12,4,87,29,,,,
03079191cd26d98e3b20c90d8929e408853c2bf5,0,2,74,30,6,3,9,4.5,,,,
03105bf245860dd67735c072eb7c2ec85dd3c14a,0,2,32,1,4,2,60,30,,,,
0311490b82479ef1e0d25350a17fe7a254e7a1c2,0,1,9,14,2,2,2,2,,,,
032f0bfc7c6754afbad1bf8de7a4a6fde8d5cee0,0,17,26,0,265,15.58823529,90,5.294117647,,,,
0336271126f81258ff9f96d2d09be9ec4b52920d,0,1,2,0,26,13,3,1.5,,,,
03372c77aa2fddd61cb9b90d9aff553f90ca15d5,0,2,9,0,0,0,0,0,,,,
033d21f6f0a93ab664d7615e2c71486c7fbce03a,1,2,30,1,16,8,14,7,,,,
033f3776c4bc6d0db14b1b9da7c24e207e9628ab,0,2,13,0,1,0.5,2,1,,,,
034762e8060dcf0a11cb039b9d426b0d0bb1801d,0,1,13,0,0,0,3,3,,,,
034df6e875d6c0b590f3cfb802574c2f982fd534,0,2,6,0,4,2,42,21,,,,
03513a02a2f3c9c333411a23bf335cc96dcb6a2b,0,2,26,0,19,9.5,32,16,,,,
0354f3bb549280332c5418dfcbe11cbefbfb72d4,0,3,114,0,2,0.666666667,21,7,,,,
0356f8c1decdc6a2a50e53d148f9a2d8884a4b6f,0,5,60,0,7,1.4,41,8.2,,,,
035b43b1fd320008234e066e30629fb0e359b424,0,1,46,3,7,7,0,0,,,,
035cd28ed36c4ec34c20e7cedf0815af72e3f2c0,0,2,18,11,3,1.5,12,6,,,,
035e49cf4ba7469c98991604f59f06bff5e8c7fb,0,1,10,0,1,1,3,3,,,,
035f05eb531cb8dd805685272d46ecd8cb0ad2b3,1,1,21,0,6,6,5,5,,,,
03700f12f356a00c67fe3c301cc297c85e92c69e,0,2,32,4,6,3,6,3,,,,
037be9695a86b4c53733e4429c20877f1ab7c497,0,3,24,0,20,6.666666667,14,4.666666667,,,,
037d1e9b1b89fb0a969b1b02ee4c74550b7864b0,0,2,22,0,13,6.5,28,14,,,,
037e9622fa8610cef9490d27adfa07c404d62f5a,1,1,7,0,3,3,44,44,,,,
0384aa5416dedc61b661a347e625c827aa6f94a2,0,2,61,0,1,0.5,5,2.5,,,,
038a56c13dafb1993ea2c6cba5a1a06b573cfa03,0,1,8,0,1,1,42,42,,,,
038ca9b2ab78b3ea928687afe98eaefa138c5c37,0,1,3,0,3,3,30,30,,,,
039dce71d43bd69181b2502cda17f941c95f9497,0,2,12,12,1,0.5,7,3.5,,,,
039f3d8a59c62d3ad14288ed1b6a97aab539731e,0,31,2580,448,19,0.612903226,94,3.032258065,,,,
03a2463be8034ee4764ac97e8020fc3d3a32f1fd,0,2,15,0,11,5.5,9,4.5,,,,
03a32bcb91d3f8af1717277d1d09e571e5c35a7b,0,1,5,7,0,0,6,6,,,,
03a41f863b160384593ef8df130f369a0c22d393,1,6,495,15,3,0.5,46,7.666666667,,,,
03ae11664d6d42b02ea2996d0125bcdee87db754,0,6,198,0,13,2.166666667,57,9.5,,,,
03b45f8bc40744697e1078a41940cdf3564ac82a,0,1,1,0,1,1,1,1,,,,
03b6cc9a87f891fe0ab0019471cb890ea53ae9ea,0,1,10,0,1,1,6,6,,,,
03b9cf662a86c97f3673530a4c0ed371d061a188,0,1,2,0,1,1,9,9,,,,
03bde1e6171cb1e36846b4499ba908371b9f943d,0,2,38,4,0,0,30,15,,,,
03bfc4e64a73652e9cd8fa3427a3de67fccd56cb,0,3,7,0,13,4.333333333,8,2.666666667,,,,
03c228f56aba7fc3cd7c71963570a7f5582c3cd9,0,3,27,0,0,0,8,2.666666667,,,,
03c2a0ba5228448baf90fd9248bc51c8071a7d47,0,5,95,0,1,0.2,18,3.6,,,,
03cec57e5db036169c79c04e66abff49b3451350,0,1,2,0,57,57,0,0,,,,
03da47b5ea854175e70393ddc5bc6258a4c21047,0,1,3,0,3,3,4,4,,,,
03df827e7870851ddb28add8b6b9cad1a812f81a,0,9,70,0,61,6.777777778,58,6.444444444,,,,
03f991730f7932b5008eb9660f72694d6284f7ef,0,1,12,0,1,1,7,7,,,,
04037aee5dfdae0167a7296927fd3d58a0af911b,0,4,26,0,2,0.5,13,3.25,,,,
0405d7b937fdeece46efc1ba90171163f3286a56,0,5,88,0,15,3,52,10.4,,,,
0406d1f85fa93db4e4d5ab8b37d298951d4c4193,0,1,2,0,3,3,28,28,,,,
040d9309c52a517c4236b3750fdde7a69c4be5e7,0,4,42,0,20,5,35,8.75,,,,
040f09c85905ef479bfb0c2b74f230f92b5315b7,0,1,2,0,3,3,8,8,,,,
0411fd29af3cebbc053709b79914286c16ec067b,0,15,43,0,2,0.133333333,84,5.6,,,,
041488406b0bb50b7e8c868975e4f225294d68e9,0,1,3,0,20,20,3,3,,,,
0416e5124307433c4cb8333ab5636490db84fada,0,1,8,0,0,0,3,3,,,,
041e2f75e7f82b0841e38baded9628aa44d81f87,1,14,254,0,31,2.214285714,135,9.642857143,,,,
042d15a314de2406a5a34b83c8cee14e3238944a,1,16,1050,133,20,1.25,22,1.375,,,,
0436cbdb882b532f0d01c41108508c6d4da3544e,0,1,18,13,3,3,4,4,,,,
0438cade12bc26e93832d186f010dd77b20ad4c9,0,1,36,0,0,0,5,5,,,,
043b4dde00216e71e855ff353e41695e4ed940a9,0,2,90,0,0,0,32,16,,,,
043bfb77f4d61f933771ed64464450f11bcf11c8,0,3,23,7,1,0.333333333,14,4.666666667,,,,
044169b5255b3b7b317a4ca6b63683851a70d79b,0,8,469,104,1,0.125,22,2.75,,,,
0446eaccbf898c85b87810231bffb0651639f262,0,73,9944,742,127,1.739726027,267,3.657534247,,,,
044c380cfe85dcbc93bef739f38f0904270ea84d,0,4,72,0,11,2.75,47,11.75,,,,
044ece27b79c810e6c15131b6a553b649e666678,1,3,62,0,9,3,22,7.333333333,,,,
044f10d8e7cf3321730ec299513e6d7150e85818,0,2,27,0,4,2,7,3.5,,,,
0450e385c9c30a03fcca73ad16e699025223e6e5,0,2,22,3,0,0,6,3,,,,
04548b067c7c79602332fe2bc2dc89ed77cee7ac,0,4,233,38,14,3.5,24,6,,,,
045ab3003abef85f2533d1a14a5e4f21b24aeb43,0,1,46,0,0,0,46,46,,,,
045b084d34c08aee910cee2362cf209fd80d3c6d,0,1,6,0,5,5,12,12,,,,
045e1190f23616e266e5b054b7b192e61e37d659,0,6,157,0,17,2.833333333,109,18.16666667,,,,
045e1b11fd058441539e5e6888da7bd873d58c89,0,26,791,12,19,0.730769231,271,10.42307692,,,,
046b2160a4c30190c25d4ba7e54f1bc9b621a2fe,0,1,1,0,8,8,4,4,,,,
046b3f2e0c4b6a80428aea1e69957429d23783a0,0,1,5,0,0,0,4,4,,,,
0471248b97cd2b743d80701038e43aed9ab8b35d,1,16,688,23,109,6.8125,328,20.5,,,,
04724f696da70064592f455ec6fb6e86e07167ed,0,3,60,27,19,6.333333333,4,1.333333333,,,,
0478c92f0f045a9979a678c7dc6ddf37ff02e318,0,1,2,0,0,0,37,37,,,,
047a0941dfb230ecdabe57c416ab8905b7662c1a,1,2,318,0,1,0.5,5,2.5,,,,
047a6f838a25ff83909b876dc07817967eaf7884,0,2,85,1,0,0,4,2,,,,
0486647e1c85947bc48cbdd279b3f49824a6e692,0,2,80,21,3,1.5,97,48.5,,,,
0488c10d349d37ac5fa4f23e05b583ae4d6de999,0,1,6,0,1,1,0,0,,,,
048cd541c7066185b3802bded7b2f009859443c3,0,1,3,0,8,8,4,4,,,,
048faa57037d30c46205dd3dedec45fea62ef2b1,1,13,244,50,11,0.846153846,26,2,,,,
04a0bd690579a91b487b2865c52b6d073b25ad5d,0,1,17,0,8,8,5,5,,,,
04a189676ba0b15a4e7ab9bfaf8caf82b03d64d0,0,3,51,0,4,1.333333333,17,5.666666667,,,,
04aeabe7c028d9c071348ad3ee78ae5da13c5bc5,0,3,70,0,0,0,0,0,,,,
04b0ed7ae4966259aa1967dc7e5ebb093be583c8,0,1,4,0,7,7,9,9,,,,
04b1af215e152ed559a72fe5a521fae753944f65,0,2,25,0,19,9.5,32,16,,,,
04b1e3cdce7f7f9d69fb06fc52cde6a82e41aa5d,0,5,509,87,62,12.4,8,1.6,,,,
04ca527aa394376b20e1fc09b1cdd1ca8a0a105a,0,10,181,2,23,2.3,79,7.9,,,,
04d38feb65b06d33224d356f6db1b9202532e2ed,0,1,30,0,0,0,20,20,,,,
04d6def2b1702c962757d59ed086a2577300712a,0,1,15,0,0,0,0,0,,,,
04dd95bef7e88c2602cca74d542654ec7bdfc754,0,1,6,2,0,0,6,6,,,,
04e53669dd3e6acd8086fd06ea073a02207ffb24,0,2,55,2,2,1,7,3.5,,,,
04e57f169646dff5309177ce5dfa444f668bf8a1,0,2,4,0,5,2.5,23,11.5,,,,
04e6ad112f541df68b06c17f141be916e5e8bdb2,0,2,17,0,17,8.5,49,24.5,,,,
04f62ad8d874d7e9541bd26b379d5232992f12dd,1,3,59,0,1,0.333333333,23,7.666666667,,,,
04f689daa9df689287891d3505b89e3cfed8cd7a,1,2,210,16,4,2,58,29,,,,
04fa99095cd82f7b6030694996c75d2fd95e7c61,0,2,24,0,5,2.5,32,16,,,,
0508842470ab27e5635d858bf0f9c8c14e1b300e,0,2,15,0,1,0.5,13,6.5,,,,
05090b275fb3acbd8de25266344fbad9b9648613,0,5,26,0,117,23.4,99,19.8,,,,
050ce0e5891ba816baaef74fcdcc91fd26935eac,0,5,64,0,77,15.4,45,9,,,,
0514bc9d5e92ed0eb6671349e8ff37d7f58aab85,0,9,326,37,40,4.444444444,61,6.777777778,,,,
051cf0d756d9a9e1d0a5ea1169fa97d89b7885bc,0,1,2,0,5,5,19,19,,,,
0526b098c98d810814cab7de58947b196657ba23,0,1,3,0,7,7,14,14,,,,
052859fbdb10f7f796512ef4f9a3d6e87fd3f87f,1,9,405,10,25,2.777777778,100,11.11111111,,,,
0530e02004578a36039111beddf472fcf3e48df6,0,2,2,0,66,33,63,31.5,,,,
0536a607e01e4dafb7c222e0d062c759a317c655,0,1,49,0,0,0,2,2,,,,
0546616926d7f95017405b4abb532a4517db7d90,0,1,2,0,2,2,2,2,,,,
0552f37a204cbfa80cf5ec0dd44843eb6e7aaa25,0,3,68,0,5,1.666666667,71,23.66666667,,,,
05560f73b9d270dfd3295e3b10c65e6e4e464687,0,1,70,0,0,0,0,0,,,,
05562a37f8ef35499ef5fea928360afa7fa5dbcd,0,1,1,0,0,0,5,5,,,,
056942ad5c0b379ebad06110b45b72f685b6c03d,0,36,2670,742,38,1.055555556,117,3.25,,,,
057138540df2b067bd3cd2857cceb97d1ecd86d0,1,7,57,4,39,5.571428571,81,11.57142857,,,,
057534f2baf175b1deff0a34747107e21b41f6fd,0,2,23,0,55,27.5,30,15,,,,
05894e2ebadf58899cb63282cd9e1f46dcd4cbbe,0,2,38,0,0,0,0,0,,,,
058ea40e7b7fb2181a2058e6118dce3f051e1ff3,1,6,40,11,18,3,69,11.5,,,,
0598db0a6c66eb2b6d2e0e3f0b3b2b921ebe8621,0,4,33,0,20,5,43,10.75,,,,
0598fc6adc6d6a721586a290e5de2d8d0b2e5f4b,0,1,0,0,7,7,41,41,,,,
059940646802fb400c4e59b46d805f40ba61b70f,0,6,35,3,3,0.5,41,6.833333333,,,,
059b85a2649ee96f33a3802f3a63c5b11a4fb380,0,2,2,0,19,9.5,45,22.5,,,,
05a985366a758fc560e360f7d113e1d36b7151bb,0,1,36,0,0,0,6,6,,,,
05be01c5c484425d22c46348d2f31989e47d1542,0,2,55,4,2,1,25,12.5,,,,
05c8d61aebb39d8695c5b295ff399e87e4749540,0,2,71,7,1,0.5,10,5,,,,
05e38697569f97010ae76d5f6ee6e7f99e0d8c69,0,0,0,20,0,0,50,10,,,,
05f01d25fb4ea226acb8f412a4c2091b08859b01,0,1,1,0,0,0,0,0,,,,
05f409e747477a12bc701d304bc6dabe6939a3a4,0,1,8,0,4,4,6,6,,,,
05f445c1dc7f701e65001432537cc343b46d683b,1,3,67,0,2,0.666666667,0,0,,,,
05f4f7170ab67c20e7f7b3f9f304ccc7ca163490,0,1,2,0,8,8,44,44,,,,
060148386c1aac20ffe60eebdabcd1607819e61e,0,0,0,2,4,4,44,44,,,,
0608c6f936ef7466114128fbc4b623c5058b66ed,0,4,55,1,57,14.25,90,22.5,,,,
060b274a136121ccda75f2b6efadde6d6a730fa5,0,2,2,0,7,3.5,41,20.5,,,,
060c58ea65cfc5224e6e93059dda682e5e7ce806,0,2,3,0,5,2.5,26,13,,,,
06112dc34865ec6b54042bf0e55b23c59675744d,0,1,4,0,2,2,4,4,,,,
0611f19406383fe1c8c1f2b2ec957c3b45d51eb2,0,4,47,0,3,0.75,27,6.75,,,,
0613daa931d897fd3a91feef5e9747cdf60ebfe2,0,4,79,4,3,0.75,27,6.75,,,,
061938563097241983b70fc6b85e1c196dfebfeb,0,4,74,10,31,7.75,11,2.75,,,,
0624b7aab0c0fe4869111ad8e302151548d6ba20,0,1,12,0,3,3,4,4,,,,
0626def72e8c2271ef72910c1a2f64015ac9c38b,0,1,2,0,3,3,8,8,,,,
0627980f12b74d06b636627b78e432d72aab86ec,0,1,25,0,1,1,6,6,,,,
0632501eba528d18e6eead05e3b1c83775d65031,0,4,89,1,23,5.75,90,22.5,,,,
063789b14e62a3bcbf7448fa46b4f6546325c417,0,6,187,0,15,2.5,54,9,,,,
063b7ee3a35a266eaf6548c30c697e3d55748288,0,2,4,0,15,7.5,8,4,,,,
064948eb96cd6f585ed18af3966aaba0ff190ae1,0,2,22,0,1,0.5,21,10.5,,,,
064ee2b58337b7fd3ae5fca343b1f6fd3bd86ed7,0,6,122,5,58,9.666666667,33,5.5,,,,
064fefb810eab07d4ddde3dd50537a6236567423,0,4,118,5,35,8.75,79,19.75,,,,
0651e60e4edade54e4d04d2e3b93c48f4e390a5c,0,3,2,4,19,3.8,47,9.4,,,,
065a7ea03d97943cd669948ebaabd5271bf2afef,0,2,15,0,2,1,1,0.5,,,,
0663778c531a69bf55ed8f88cd828febd69be44c,0,2,15,0,7,3.5,10,5,,,,
066d4c0bf25a9e4c6493e9fe575d9086dab2ea33,0,6,161,10,16,2.666666667,9,1.5,,,,
0673aef9ff336b29a744cea02103ff992b50cbc6,0,8,217,9,14,1.75,62,7.75,,,,
067bf699941dbf4bda9623acd61e2c65f26e01b6,1,1,2,0,2,2,16,16,,,,
067eb74733d00d2d9eda46b313c612746b1bba2e,0,1,8,0,1,1,1,1,,,,
067f0a2d2971ab64ee6fa6f3689fc1158471af18,0,1,2,0,10,10,14,14,,,,
068f31c6cd3eff68f08ee597f7296e4f6e47388f,0,1,3,0,7,7,8,8,,,,
06900100ad6ddf81c7e5d48a17db079969dd80ce,0,1,4,0,2,2,12,12,,,,
06999f610afc3a123f7a54895e39d690301a8eba,0,1,2,0,1,1,6,6,,,,
069ee2aed23e8ad661ca7f7eac5e8317da035caa,0,1,3,0,0,0,0,0,,,,
06a46e30cda6cec5f1520f2447319c6e78456768,0,10,87,0,0,0,0,0,,,,
06b26a8ab82fa4584f8bc0a217296f7b7510d0a4,1,4,571,64,4,1,13,3.25,,,,
